date,time_UTC,satellite,valid_pixels_percent,landsat_id
2022-07-19,09:58:38,LANDSAT_9,99.9975275998333,LC09_L2SP_192029_20220719_20230407_02_T1
2022-07-27,09:59:08,LANDSAT_8,0.0,LC08_L2SP_192029_20220727_20220802_02_T1
2022-08-04,09:58:52,LANDSAT_9,99.99907284993749,LC09_L2SP_192029_20220804_20230404_02_T1
2022-08-12,09:59:16,LANDSAT_8,99.59730782284988,LC08_L2SP_192029_20220812_20220818_02_T1
2022-08-20,09:58:59,LANDSAT_9,99.82291433806061,LC09_L2SP_192029_20220820_20230402_02_T1
2022-08-28,09:59:17,LANDSAT_8,99.91655649437412,LC08_L2SP_192029_20220828_20220909_02_T1
2023-06-04,09:58:13,LANDSAT_9,0.0,LC09_L2SP_192029_20230604_20230606_02_T1
2023-06-12,09:58:12,LANDSAT_8,21.453459824073178,LC08_L2SP_192029_20230612_20230615_02_T1
2023-06-20,09:58:05,LANDSAT_9,85.64722618819567,LC09_L2SP_192029_20230620_20230622_02_T1
2023-06-28,09:58:19,LANDSAT_8,0.0,LC08_L2SP_192029_20230628_20230711_02_T1
2023-07-06,09:58:18,LANDSAT_9,10.616100912224885,LC09_L2SP_192029_20230706_20230710_02_T1
2023-07-14,09:58:28,LANDSAT_8,41.158537631052006,LC08_L2SP_192029_20230714_20230724_02_T1
2023-07-22,09:58:21,LANDSAT_9,97.47865115785001,LC09_L2SP_192029_20230722_20230802_02_T1
2023-07-30,09:58:35,LANDSAT_8,89.95268565377111,LC08_L2SP_192029_20230730_20230805_02_T1
2023-08-07,09:58:31,LANDSAT_9,99.53302541851585,LC09_L2SP_192029_20230807_20230809_02_T1
2023-08-15,09:58:40,LANDSAT_8,99.85165598999843,LC08_L2SP_192029_20230815_20230819_02_T1
2023-08-23,09:58:37,LANDSAT_9,99.9975275998333,LC09_L2SP_192029_20230823_20230825_02_T1
2023-08-31,09:58:45,LANDSAT_8,99.65232721028484,LC08_L2SP_192029_20230831_20230906_02_T1
2024-06-06,09:58:07,LANDSAT_9,99.76472082511751,LC09_L2SP_192029_20240606_20240612_02_T1
2024-06-14,09:57:52,LANDSAT_8,0.020324583723256698,LC08_L2SP_192029_20240614_20240628_02_T1
2024-06-22,09:57:48,LANDSAT_9,99.99536424968744,LC09_L2SP_192029_20240622_20240623_02_T1
2024-06-30,09:58:03,LANDSAT_8,94.7643666295544,LC08_L2SP_192029_20240630_20240709_02_T1
2024-07-08,09:58:06,LANDSAT_9,67.4315258775164,LC09_L2SP_192029_20240708_20240709_02_T1
2024-07-16,09:58:16,LANDSAT_8,100.0,LC08_L2SP_192029_20240716_20240722_02_T1
2024-07-24,09:58:11,LANDSAT_9,99.75846589508798,LC09_L2SP_192029_20240724_20240725_02_T1
2024-08-01,09:58:22,LANDSAT_8,100.0,LC08_L2SP_192029_20240801_20240807_02_T1
2024-08-09,09:58:17,LANDSAT_9,99.86865374114444,LC09_L2SP_192029_20240809_20240810_02_T1
2024-08-17,09:58:28,LANDSAT_8,99.77130298458088,LC08_L2SP_192029_20240817_20240823_02_T1
2024-08-25,09:58:31,LANDSAT_9,99.85752794039433,LC09_L2SP_192029_20240825_20240826_02_T1
2025-06-01,09:58:14,LANDSAT_8,99.98083889870813,LC08_L2SP_192029_20250601_20250607_02_T1
2025-06-09,09:58:14,LANDSAT_9,27.556369966325345,LC09_L2SP_192029_20250609_20250610_02_T1
2025-06-17,09:58:25,LANDSAT_8,0.0021633501458564824,LC08_L2SP_192029_20250617_20250627_02_T1
2025-06-25,09:58:26,LANDSAT_9,94.27159424907596,LC09_L2SP_192029_20250625_20250627_02_T1
2025-07-03,09:58:31,LANDSAT_8,99.70629461568811,LC08_L2SP_192029_20250703_20250711_02_T1
2025-07-11,09:58:29,LANDSAT_9,99.91748364443663,LC09_L2SP_192029_20250711_20250712_02_T1
2025-07-19,09:58:37,LANDSAT_8,67.3707133171418,LC08_L2SP_192029_20250719_20250726_02_T1
2025-07-27,09:58:38,LANDSAT_9,85.6205133587476,LC09_L2SP_192029_20250727_20250729_02_T1
2025-08-04,09:58:42,LANDSAT_8,35.97457863605113,LC08_L2SP_192029_20250804_20250814_02_T1
2025-08-12,09:58:48,LANDSAT_9,100.0,LC09_L2SP_192029_20250812_20250815_02_T1
2025-08-20,09:58:49,LANDSAT_8,64.84749320741447,LC08_L2SP_192029_20250820_20250826_02_T1
2025-08-28,09:58:52,LANDSAT_9,58.41593321320033,LC09_L2SP_192029_20250828_20250830_02_T1
