row,col,x,y,albedo_mean_1km,delta_lst_1km
0,8,684500.0,4937500.0,0.2171241194009781,7.750909328460693
0,9,685500.0,4937500.0,0.23017102479934692,7.632727146148682
0,10,686500.0,4937500.0,0.20341236889362335,7.594545364379883
0,11,687500.0,4937500.0,0.2042737752199173,8.007272720336914
0,12,688500.0,4937500.0,0.23066909611225128,8.863636016845703
0,13,689500.0,4937500.0,0.21470898389816284,9.40363597869873
0,14,690500.0,4937500.0,0.20476286113262177,8.989090919494629
0,15,691500.0,4937500.0,0.21422158181667328,8.989090919494629
0,16,692500.0,4937500.0,0.20646406710147858,8.881817817687988
0,17,693500.0,4937500.0,0.23486626148223877,8.84000015258789
1,0,676500.0,4936500.0,0.21394319832324982,9.140000343322754
1,1,677500.0,4936500.0,0.2016429305076599,8.84000015258789
1,2,678500.0,4936500.0,0.2090679258108139,9.13454532623291
1,3,679500.0,4936500.0,0.21380291879177094,9.450908660888672
1,4,680500.0,4936500.0,0.19503678381443024,9.014545440673828
1,5,681500.0,4936500.0,0.21790215373039246,9.127272605895996
1,6,682500.0,4936500.0,0.22276973724365234,8.316363334655762
1,7,683500.0,4936500.0,0.20126737654209137,7.292727470397949
1,8,684500.0,4936500.0,0.19591906666755676,7.605454444885254
1,9,685500.0,4936500.0,0.21768391132354736,8.119999885559082
1,10,686500.0,4936500.0,0.20594201982021332,7.8218183517456055
1,11,687500.0,4936500.0,0.1911211609840393,7.659999847412109
1,12,688500.0,4936500.0,0.2247655838727951,8.281818389892578
1,13,689500.0,4936500.0,0.23350974917411804,8.9909086227417
1,14,690500.0,4936500.0,0.21410925686359406,9.029090881347656
1,15,691500.0,4936500.0,0.21244701743125916,8.967272758483887
1,16,692500.0,4936500.0,0.21108682453632355,8.958181381225586
1,17,693500.0,4936500.0,0.20379942655563354,8.838181495666504
2,0,676500.0,4935500.0,0.21134351193904877,9.192727088928223
2,1,677500.0,4935500.0,0.21204300224781036,9.030909538269043
2,2,678500.0,4935500.0,0.20452295243740082,8.374545097351074
2,3,679500.0,4935500.0,0.21649803221225739,8.918181419372559
2,4,680500.0,4935500.0,0.2106495499610901,8.956363677978516
2,5,681500.0,4935500.0,0.20485717058181763,9.100000381469727
2,6,682500.0,4935500.0,0.21238943934440613,8.699999809265137
2,7,683500.0,4935500.0,0.19709640741348267,7.599999904632568
2,8,684500.0,4935500.0,0.21579471230506897,7.1145453453063965
2,9,685500.0,4935500.0,0.19926783442497253,7.538181781768799
2,10,686500.0,4935500.0,0.1923508495092392,7.360000133514404
2,11,687500.0,4935500.0,0.1862448900938034,7.3781819343566895
2,12,688500.0,4935500.0,0.19850416481494904,7.850909233093262
2,13,689500.0,4935500.0,0.21558865904808044,8.221817970275879
2,14,690500.0,4935500.0,0.2281426638364792,8.552727699279785
2,15,691500.0,4935500.0,0.22601085901260376,9.341817855834961
2,16,692500.0,4935500.0,0.20919722318649292,9.472726821899414
2,17,693500.0,4935500.0,0.22651369869709015,9.192727088928223
3,0,676500.0,4934500.0,0.20179522037506104,9.492727279663086
3,1,677500.0,4934500.0,0.20140989124774933,9.06181812286377
3,2,678500.0,4934500.0,0.22374358773231506,8.172727584838867
3,3,679500.0,4934500.0,0.20605383813381195,7.838181972503662
3,4,680500.0,4934500.0,0.2083178460597992,8.183636665344238
3,5,681500.0,4934500.0,0.20853400230407715,8.949090957641602
3,6,682500.0,4934500.0,0.22787947952747345,9.047272682189941
3,7,683500.0,4934500.0,0.1902458369731903,7.741817951202393
3,8,684500.0,4934500.0,0.20921458303928375,6.91454553604126
3,9,685500.0,4934500.0,0.17744289338588715,7.199999809265137
3,10,686500.0,4934500.0,0.1958405077457428,7.078181743621826
3,11,687500.0,4934500.0,0.19139236211776733,7.361818313598633
3,12,688500.0,4934500.0,0.20551344752311707,7.856363773345947
3,13,689500.0,4934500.0,0.2063714563846588,8.109090805053711
3,14,690500.0,4934500.0,0.2201484739780426,8.0600004196167
3,15,691500.0,4934500.0,0.22888313233852386,8.9745454788208
3,16,692500.0,4934500.0,0.22291113436222076,9.59636402130127
3,17,693500.0,4934500.0,0.21495670080184937,9.554545402526855
4,0,676500.0,4933500.0,0.2121596485376358,9.021818161010742
4,1,677500.0,4933500.0,0.20116490125656128,8.745454788208008
4,2,678500.0,4933500.0,0.20417726039886475,7.627272605895996
4,3,679500.0,4933500.0,0.20547641813755035,7.409090995788574
4,4,680500.0,4933500.0,0.20945189893245697,7.374545574188232
4,5,681500.0,4933500.0,0.21414712071418762,7.845454692840576
4,6,682500.0,4933500.0,0.21120692789554596,8.140000343322754
4,7,683500.0,4933500.0,0.19285047054290771,7.949090957641602
4,8,684500.0,4933500.0,0.18215274810791016,7.047272682189941
4,9,685500.0,4933500.0,0.19077736139297485,6.952727317810059
4,10,686500.0,4933500.0,0.18919439613819122,7.152727127075195
4,11,687500.0,4933500.0,0.18458731472492218,7.3218183517456055
4,12,688500.0,4933500.0,0.19868598878383636,7.936363697052002
4,13,689500.0,4933500.0,0.20322230458259583,8.23090934753418
4,14,690500.0,4933500.0,0.20859546959400177,8.40181827545166
4,15,691500.0,4933500.0,0.221664160490036,8.494544982910156
4,16,692500.0,4933500.0,0.2023831456899643,9.049091339111328
4,17,693500.0,4933500.0,0.2240973263978958,9.374545097351074
5,0,676500.0,4932500.0,0.215855672955513,8.63454532623291
5,1,677500.0,4932500.0,0.22161465883255005,8.067273139953613
5,2,678500.0,4932500.0,0.20921690762043,7.667272567749023
5,3,679500.0,4932500.0,0.21669727563858032,7.485454559326172
5,4,680500.0,4932500.0,0.18273526430130005,7.28000020980835
5,5,681500.0,4932500.0,0.1875702291727066,7.449090957641602
5,6,682500.0,4932500.0,0.18429207801818848,7.229090690612793
5,7,683500.0,4932500.0,0.17701657116413116,7.076363563537598
5,8,684500.0,4932500.0,0.17924651503562927,6.632727146148682
5,9,685500.0,4932500.0,0.1844579130411148,6.798182010650635
5,10,686500.0,4932500.0,0.1889343410730362,6.718181610107422
5,11,687500.0,4932500.0,0.19159187376499176,7.159999847412109
5,12,688500.0,4932500.0,0.19540616869926453,7.76727294921875
5,13,689500.0,4932500.0,0.2198696881532669,8.338181495666504
5,14,690500.0,4932500.0,0.20816807448863983,8.447272300720215
5,15,691500.0,4932500.0,0.19725298881530762,8.4745454788208
5,16,692500.0,4932500.0,0.20741163194179535,8.876363754272461
5,17,693500.0,4932500.0,0.20847630500793457,8.63272762298584
5,18,694500.0,4932500.0,0.21056629717350006,8.765454292297363
6,0,676500.0,4931500.0,0.2137850821018219,8.92909049987793
6,1,677500.0,4931500.0,0.19841918349266052,8.189090728759766
6,2,678500.0,4931500.0,0.20786961913108826,8.079999923706055
6,3,679500.0,4931500.0,0.2183845192193985,7.547272682189941
6,4,680500.0,4931500.0,0.20247039198875427,7.490909099578857
6,5,681500.0,4931500.0,0.17678576707839966,7.256363868713379
6,6,682500.0,4931500.0,0.1843443214893341,7.125454425811768
6,7,683500.0,4931500.0,0.17762763798236847,6.947272777557373
6,8,684500.0,4931500.0,0.201105996966362,6.701817989349365
6,9,685500.0,4931500.0,0.18985596299171448,7.105454444885254
6,10,686500.0,4931500.0,0.1682499796152115,6.861818313598633
6,11,687500.0,4931500.0,0.18498234450817108,7.7272725105285645
6,12,688500.0,4931500.0,0.21725791692733765,7.834545612335205
6,13,689500.0,4931500.0,0.19021792709827423,7.967272758483887
6,14,690500.0,4931500.0,0.1901024580001831,7.7654547691345215
6,15,691500.0,4931500.0,0.18690232932567596,7.96363639831543
6,16,692500.0,4931500.0,0.18189969658851624,8.225454330444336
6,17,693500.0,4931500.0,0.1931987702846527,8.254545211791992
6,18,694500.0,4931500.0,0.2109995186328888,8.498181343078613
7,0,676500.0,4930500.0,0.19185379147529602,8.690909385681152
7,1,677500.0,4930500.0,0.20229396224021912,8.512727737426758
7,2,678500.0,4930500.0,0.1995101273059845,8.819999694824219
7,3,679500.0,4930500.0,0.21781396865844727,8.434545516967773
7,4,680500.0,4930500.0,0.20772604644298553,7.749090671539307
7,5,681500.0,4930500.0,0.1827475130558014,7.130908966064453
7,6,682500.0,4930500.0,0.17391903698444366,6.714545249938965
7,7,683500.0,4930500.0,0.17635007202625275,6.880000114440918
7,8,684500.0,4930500.0,0.181716650724411,6.95090913772583
7,9,685500.0,4930500.0,0.1710505485534668,6.956363677978516
7,10,686500.0,4930500.0,0.16203439235687256,7.290909290313721
7,11,687500.0,4930500.0,0.16675618290901184,7.243636131286621
7,12,688500.0,4930500.0,0.16955062747001648,7.423636436462402
7,13,689500.0,4930500.0,0.18877461552619934,7.534545421600342
7,14,690500.0,4930500.0,0.19065339863300323,7.8254547119140625
7,15,691500.0,4930500.0,0.2065381109714508,8.318181991577148
7,16,692500.0,4930500.0,0.2028762549161911,8.569090843200684
7,17,693500.0,4930500.0,0.2149227112531662,8.567273139953613
7,18,694500.0,4930500.0,0.2166476845741272,9.069090843200684
8,0,676500.0,4929500.0,0.19578249752521515,7.954545497894287
8,1,677500.0,4929500.0,0.208938866853714,8.5600004196167
8,2,678500.0,4929500.0,0.21034421026706696,9.165454864501953
8,3,679500.0,4929500.0,0.20384006202220917,8.905454635620117
8,4,680500.0,4929500.0,0.19592615962028503,8.176363945007324
8,5,681500.0,4929500.0,0.18224166333675385,7.203636169433594
8,6,682500.0,4929500.0,0.17029106616973877,6.420000076293945
8,7,683500.0,4929500.0,0.17718780040740967,6.412727355957031
8,8,684500.0,4929500.0,0.16952577233314514,6.703636169433594
8,9,685500.0,4929500.0,0.16178107261657715,7.1218180656433105
8,10,686500.0,4929500.0,0.16653381288051605,7.547272682189941
8,11,687500.0,4929500.0,0.16425538063049316,7.4418182373046875
8,12,688500.0,4929500.0,0.17154143750667572,7.330909252166748
8,13,689500.0,4929500.0,0.1739474982023239,7.298182010650635
8,14,690500.0,4929500.0,0.1916617751121521,7.907272815704346
8,15,691500.0,4929500.0,0.2013431340456009,8.76727294921875
8,16,692500.0,4929500.0,0.20233431458473206,8.79272747039795
8,17,693500.0,4929500.0,0.22016362845897675,8.84000015258789
8,18,694500.0,4929500.0,0.22178079187870026,9.101818084716797
9,0,676500.0,4928500.0,0.17695778608322144,7.1218180656433105
9,1,677500.0,4928500.0,0.2037249654531479,7.59818172454834
9,2,678500.0,4928500.0,0.18595926463603973,8.523636817932129
9,3,679500.0,4928500.0,0.19614674150943756,8.585454940795898
9,4,680500.0,4928500.0,0.18463188409805298,8.150909423828125
9,5,681500.0,4928500.0,0.17951631546020508,6.965454578399658
9,6,682500.0,4928500.0,0.18142035603523254,6.052727222442627
9,7,683500.0,4928500.0,0.18969476222991943,5.8818182945251465
9,8,684500.0,4928500.0,0.17688731849193573,5.952727317810059
9,9,685500.0,4928500.0,0.16567151248455048,6.285454750061035
9,10,686500.0,4928500.0,0.16817453503608704,6.894545555114746
9,11,687500.0,4928500.0,0.16104555130004883,7.1745452880859375
9,12,688500.0,4928500.0,0.16303928196430206,6.969090938568115
9,13,689500.0,4928500.0,0.16866914927959442,7.094545364379883
9,14,690500.0,4928500.0,0.18760471045970917,7.483636379241943
9,15,691500.0,4928500.0,0.1904584765434265,8.234545707702637
9,16,692500.0,4928500.0,0.18845240771770477,8.341817855834961
9,17,693500.0,4928500.0,0.1976166069507599,8.578182220458984
9,18,694500.0,4928500.0,0.18325911462306976,8.543636322021484
10,0,676500.0,4927500.0,0.19994567334651947,6.73272705078125
10,1,677500.0,4927500.0,0.1922101229429245,6.712727069854736
10,2,678500.0,4927500.0,0.19770269095897675,6.830909252166748
10,3,679500.0,4927500.0,0.18962985277175903,7.050909042358398
10,4,680500.0,4927500.0,0.18007738888263702,7.109090805053711
10,5,681500.0,4927500.0,0.16932524740695953,5.679999828338623
10,6,682500.0,4927500.0,0.18257124722003937,5.0127272605896
10,7,683500.0,4927500.0,0.18931518495082855,5.23272705078125
10,8,684500.0,4927500.0,0.19338002800941467,5.107272624969482
10,9,685500.0,4927500.0,0.18391835689544678,5.312727451324463
10,10,686500.0,4927500.0,0.1701393872499466,5.669090747833252
10,11,687500.0,4927500.0,0.16514968872070312,5.9418182373046875
10,12,688500.0,4927500.0,0.16755926609039307,6.187272548675537
10,13,689500.0,4927500.0,0.16975992918014526,6.669090747833252
10,14,690500.0,4927500.0,0.16789308190345764,7.1781816482543945
10,15,691500.0,4927500.0,0.19537299871444702,7.785454750061035
10,16,692500.0,4927500.0,0.18917064368724823,8.029090881347656
10,17,693500.0,4927500.0,0.20438086986541748,8.378181457519531
10,18,694500.0,4927500.0,0.20519272983074188,8.70727252960205
11,0,676500.0,4926500.0,0.20151004195213318,5.96363639831543
11,1,677500.0,4926500.0,0.18436485528945923,5.416363716125488
11,2,678500.0,4926500.0,0.19655625522136688,5.336363792419434
11,3,679500.0,4926500.0,0.20239782333374023,5.91454553604126
11,4,680500.0,4926500.0,0.18250535428524017,6.6218180656433105
11,5,681500.0,4926500.0,0.17833350598812103,6.203636169433594
11,6,682500.0,4926500.0,0.21300533413887024,5.270909309387207
11,7,683500.0,4926500.0,0.1907220482826233,5.601818084716797
11,8,684500.0,4926500.0,0.18831788003444672,5.436363697052002
11,9,685500.0,4926500.0,0.1916825771331787,5.198181629180908
11,10,686500.0,4926500.0,0.19467908143997192,5.370909214019775
11,11,687500.0,4926500.0,0.198111429810524,5.783636569976807
11,12,688500.0,4926500.0,0.16819392144680023,6.101818084716797
11,13,689500.0,4926500.0,0.1660420298576355,6.405454635620117
11,14,690500.0,4926500.0,0.18135279417037964,6.870909214019775
11,15,691500.0,4926500.0,0.17090976238250732,7.190908908843994
11,16,692500.0,4926500.0,0.19189469516277313,8.223636627197266
11,17,693500.0,4926500.0,0.21032632887363434,8.630908966064453
11,18,694500.0,4926500.0,0.17938588559627533,8.729090690612793
12,0,676500.0,4925500.0,0.19436046481132507,4.750909328460693
12,1,677500.0,4925500.0,0.1976478099822998,4.4418182373046875
12,2,678500.0,4925500.0,0.1915411651134491,6.300000190734863
12,3,679500.0,4925500.0,0.20095261931419373,7.192727088928223
12,4,680500.0,4925500.0,0.1932075470685959,7.54909086227417
12,5,681500.0,4925500.0,0.18418341875076294,6.805454730987549
12,6,682500.0,4925500.0,0.17513452470302582,5.539999961853027
12,7,683500.0,4925500.0,0.1767483353614807,5.930909156799316
12,8,684500.0,4925500.0,0.18475095927715302,5.718181610107422
12,9,685500.0,4925500.0,0.17628581821918488,5.570909023284912
12,10,686500.0,4925500.0,0.1991509199142456,5.360000133514404
12,11,687500.0,4925500.0,0.19780904054641724,6.032727241516113
12,12,688500.0,4925500.0,0.172590434551239,6.281818389892578
12,13,689500.0,4925500.0,0.17876163125038147,6.7309088706970215
12,14,690500.0,4925500.0,0.18502119183540344,6.956363677978516
12,15,691500.0,4925500.0,0.1893220990896225,8.092727661132812
12,16,692500.0,4925500.0,0.2100476324558258,8.80545425415039
12,17,693500.0,4925500.0,0.2027062326669693,9.041818618774414
12,18,694500.0,4925500.0,0.181243434548378,8.776363372802734
13,0,676500.0,4924500.0,0.1855940967798233,4.292727470397949
13,1,677500.0,4924500.0,0.1858317106962204,4.841818332672119
13,2,678500.0,4924500.0,0.18929056823253632,6.045454502105713
13,3,679500.0,4924500.0,0.19417957961559296,7.158181667327881
13,4,680500.0,4924500.0,0.19391384720802307,7.814545631408691
13,5,681500.0,4924500.0,0.17236573994159698,7.109090805053711
13,6,682500.0,4924500.0,0.1725694239139557,5.990909099578857
13,7,683500.0,4924500.0,0.18123328685760498,6.1109089851379395
13,8,684500.0,4924500.0,0.19171665608882904,6.099999904632568
13,9,685500.0,4924500.0,0.20390628278255463,5.930909156799316
13,10,686500.0,4924500.0,0.19272075593471527,6.763636589050293
13,11,687500.0,4924500.0,0.17832419276237488,6.559999942779541
13,12,688500.0,4924500.0,0.19454170763492584,6.5054545402526855
13,13,689500.0,4924500.0,0.19145150482654572,6.976363658905029
13,14,690500.0,4924500.0,0.1772824078798294,7.2654547691345215
13,15,691500.0,4924500.0,0.19726711511611938,7.981818199157715
13,16,692500.0,4924500.0,0.2065567821264267,8.585454940795898
13,17,693500.0,4924500.0,0.19751635193824768,8.445454597473145
13,18,694500.0,4924500.0,0.18434591591358185,8.252727508544922
14,0,676500.0,4923500.0,0.18856339156627655,4.612727165222168
14,1,677500.0,4923500.0,0.19116295874118805,4.925454616546631
14,2,678500.0,4923500.0,0.19894510507583618,5.690908908843994
14,3,679500.0,4923500.0,0.18653352558612823,6.3218183517456055
14,4,680500.0,4923500.0,0.18417569994926453,6.810909271240234
14,5,681500.0,4923500.0,0.14444711804389954,6.380000114440918
14,6,682500.0,4923500.0,0.1695108413696289,5.6745452880859375
14,7,683500.0,4923500.0,0.1764710396528244,5.579999923706055
14,8,684500.0,4923500.0,0.17571182548999786,5.96363639831543
14,9,685500.0,4923500.0,0.1816766858100891,6.752727508544922
14,10,686500.0,4923500.0,0.18125995993614197,7.021818161010742
14,11,687500.0,4923500.0,0.1789000779390335,6.905454635620117
14,12,688500.0,4923500.0,0.18845728039741516,6.314545631408691
14,13,689500.0,4923500.0,0.18928882479667664,6.629090785980225
14,14,690500.0,4923500.0,0.18600378930568695,6.712727069854736
14,15,691500.0,4923500.0,0.19980713725090027,6.80363655090332
14,16,692500.0,4923500.0,0.19485534727573395,6.9454545974731445
14,17,693500.0,4923500.0,0.1876114159822464,7.203636169433594
14,18,694500.0,4923500.0,0.1740904301404953,7.785454750061035
15,0,676500.0,4922500.0,0.1865641176700592,5.590909004211426
15,1,677500.0,4922500.0,0.19339482486248016,5.567272663116455
15,2,678500.0,4922500.0,0.18499727547168732,6.225454330444336
15,3,679500.0,4922500.0,0.20073163509368896,6.563636302947998
15,4,680500.0,4922500.0,0.1827964335680008,7.6781816482543945
15,5,681500.0,4922500.0,0.14510324597358704,7.016363620758057
15,6,682500.0,4922500.0,0.17578566074371338,5.8781819343566895
15,7,683500.0,4922500.0,0.17765463888645172,5.576363563537598
15,8,684500.0,4922500.0,0.19041627645492554,5.539999961853027
15,9,685500.0,4922500.0,0.16657963395118713,6.296363830566406
15,10,686500.0,4922500.0,0.1761862188577652,6.923636436462402
15,11,687500.0,4922500.0,0.17120687663555145,6.7654547691345215
15,12,688500.0,4922500.0,0.1820489913225174,6.2727274894714355
15,13,689500.0,4922500.0,0.19445277750492096,6.409090995788574
15,14,690500.0,4922500.0,0.17703554034233093,6.40181827545166
15,15,691500.0,4922500.0,0.1811438798904419,5.900000095367432
15,16,692500.0,4922500.0,0.19105350971221924,5.538181781768799
15,17,693500.0,4922500.0,0.18909183144569397,6.096363544464111
15,18,694500.0,4922500.0,0.2233729362487793,6.972727298736572
16,0,676500.0,4921500.0,0.18223436176776886,5.41454553604126
16,1,677500.0,4921500.0,0.18210284411907196,5.490909099578857
