count,mean,std,min,p05,p25,p50,p75,p95,max,year,source_file
324656,40.20267105102539,4.136347770690918,28.44750213623047,32.57305145263672,37.361698150634766,40.72502899169922,43.30221939086914,46.13917541503906,56.20866012573242,2013,Bologna_LST_2013_summer_median_30m.tif
324651,34.426002502441406,3.7205872535705566,24.84832763671875,28.233877182006836,31.711711883544922,34.487144470214844,37.1292724609375,40.33708572387695,51.93613815307617,2014,Bologna_LST_2014_summer_median_30m.tif
324656,40.095970153808594,4.409956932067871,29.40113067626953,32.614070892333984,36.684932708740234,40.42082595825195,43.48337173461914,46.809104919433594,56.22916793823242,2015,Bologna_LST_2015_summer_median_30m.tif
324656,38.60125732421875,4.134664058685303,27.51780128479004,31.870649337768555,35.594581604003906,38.581932067871094,41.56415557861328,45.331241607666016,57.042659759521484,2016,Bologna_LST_2016_summer_median_30m.tif
324656,41.570152282714844,3.4311838150024414,30.221454620361328,34.914398193359375,39.511634826660156,42.12812805175781,43.99265670776367,46.37160110473633,57.244319915771484,2017,Bologna_LST_2017_summer_median_30m.tif
324656,41.45405960083008,4.815866947174072,29.503671646118164,33.62238693237305,37.61804962158203,41.67865753173828,45.23681640625,48.887264251708984,63.020774841308594,2018,Bologna_LST_2018_summer_median_30m.tif
324647,38.73766326904297,4.009801864624023,23.99382209777832,31.803998947143555,35.77061080932617,39.104888916015625,41.76069259643555,44.75487518310547,54.29286193847656,2019,Bologna_LST_2019_summer_median_30m.tif
324555,39.12938690185547,4.31772518157959,27.801496505737305,31.499794006347656,36.00389099121094,39.537269592285156,42.37422561645508,45.61963653564453,54.56801223754883,2020,Bologna_LST_2020_summer_median_30m.tif
324652,42.2716064453125,4.182863235473633,25.70625114440918,34.570884704589844,39.511634826660156,42.93136215209961,45.25048828125,48.30790710449219,56.57609939575195,2021,Bologna_LST_2021_summer_median_30m.tif
324656,41.327144622802734,4.43961763381958,28.5739688873291,33.59503936767578,38.10682678222656,41.67353057861328,44.70189666748047,48.07035446166992,57.36737060546875,2022,Bologna_LST_2022_summer_median_30m.tif
324653,39.586395263671875,4.9028544425964355,24.668882369995117,31.315221786499023,35.79795455932617,40.03117370605469,43.39963150024414,47.00735092163086,57.264827728271484,2023,Bologna_LST_2023_summer_median_30m.tif
324656,39.893150329589844,3.8414864540100098,29.209720611572266,33.316471099853516,37.1275634765625,40.08586120605469,42.724571228027344,45.8896598815918,55.64810562133789,2024,Bologna_LST_2024_summer_median_30m.tif
324656,38.89494705200195,4.410433292388916,28.06126594543457,31.287878036499023,35.36899185180664,39.569740295410156,42.25459289550781,45.375247955322266,53.77161407470703,2025,Bologna_LST_2025_summer_median_30m.tif
