metric,count,mean,std,min,p05,p25,p50,p75,p95,max
temporal_persistence,324656,2.081338405609131,0.7566770911216736,0.0,1.0,2.0,2.0,3.0,3.0,6.0
structural_persistence,324656,0.6994911432266235,2.228757858276367,0.0,0.0,0.0,0.0,0.0,4.0,14.0
