row,col,x,y,albedo_mean_1km,ndvi_mean_1km,delta_lst_1km
1,2,678500,4936500,0.19306667149066925,0.43437177057449633,11.600000381469727
1,10,686500,4936500,0.18898341059684753,0.45617190897464754,10.491666793823242
1,11,687500,4936500,0.18332286179065704,0.3403116528834556,9.994999885559082
1,12,688500,4936500,0.19918526709079742,0.4183340569337209,11.664999961853027
2,1,677500,4935500,0.19807404279708862,0.5604549523702888,11.484999656677246
2,2,678500,4935500,0.20856843888759613,0.3959639491084366,11.708333015441895
2,3,679500,4935500,0.19566768407821655,0.5683783057336045,11.858333587646484
2,4,680500,4935500,0.18495531380176544,0.5385630687280577,11.484999656677246
2,5,681500,4935500,0.18677456676959991,0.53479081121853,11.731666564941406
2,7,683500,4935500,0.19838885962963104,0.7825858173964662,10.966666221618652
2,8,684500,4935500,0.20699957013130188,0.3547098682164045,10.3100004196167
2,9,685500,4935500,0.18908356130123138,0.30820694652070585,10.418333053588867
2,10,686500,4935500,0.180901437997818,0.4558655173373038,10.420000076293945
2,11,687500,4935500,0.17210081219673157,0.4362681322824704,10.25
2,12,688500,4935500,0.19043569266796112,0.46024986151412495,11.09000015258789
2,13,689500,4935500,0.19484753906726837,0.3867958487139968,11.90999984741211
3,1,677500,4934500,0.19298043847084045,0.5328955065864471,11.543333053588867
3,2,678500,4934500,0.20144593715667725,0.5196620933756232,11.630000114440918
3,3,679500,4934500,0.20154902338981628,0.46911226269406325,11.203332901000977
3,4,680500,4934500,0.19548399746418,0.3314364372242448,11.506667137145996
3,5,681500,4934500,0.1966913789510727,0.3584028112873358,11.960000038146973
3,6,682500,4934500,0.20304614305496216,0.3406343182033681,11.953332901000977
3,7,683500,4934500,0.18480120599269867,0.7188318117010472,10.609999656677246
3,8,684500,4934500,0.18396346271038055,0.513654431309913,9.648333549499512
3,9,685500,4934500,0.16742581129074097,0.3867058761515255,9.611666679382324
3,10,686500,4934500,0.17688025534152985,0.362882378707121,10.143333435058594
3,11,687500,4934500,0.17352567613124847,0.35443151470473166,10.845000267028809
3,12,688500,4934500,0.1938704550266266,0.3814683942783624,11.328332901000977
3,13,689500,4934500,0.19191983342170715,0.3914814438574467,12.005000114440918
3,14,690500,4934500,0.196507066488266,0.46641996194017815,11.976666450500488
3,15,691500,4934500,0.1964985877275467,0.3478707137661962,11.713333129882812
4,1,677500,4933500,0.19202278554439545,0.523715590810072,11.28166675567627
4,2,678500,4933500,0.19556312263011932,0.5542663861879963,10.895000457763672
4,3,679500,4933500,0.20640762150287628,0.4636854660794139,10.53166675567627
4,4,680500,4933500,0.19591593742370605,0.30953958573305607,10.526666641235352
4,5,681500,4933500,0.1997120976448059,0.3098784152039894,10.511666297912598
4,6,682500,4933500,0.19588686525821686,0.22512247876031452,10.833333015441895
4,7,683500,4933500,0.1809546947479248,0.4328904961680488,10.739999771118164
4,8,684500,4933500,0.17207543551921844,0.5235561167690703,9.87833309173584
4,9,685500,4933500,0.16823452711105347,0.4554284741886047,9.46500015258789
4,10,686500,4933500,0.1688534915447235,0.3901181894380183,9.726666450500488
4,11,687500,4933500,0.16506090760231018,0.33418724517214143,10.558333396911621
4,12,688500,4933500,0.1798647791147232,0.4797150441361874,11.481666564941406
4,13,689500,4933500,0.19078971445560455,0.3567650497124878,11.728333473205566
4,14,690500,4933500,0.20007172226905823,0.4286221614714712,11.743332862854004
4,15,691500,4933500,0.19880454242229462,0.47657333563409215,11.556666374206543
4,16,692500,4933500,0.18603147566318512,0.3509471419183657,11.220000267028809
5,1,677500,4932500,0.20665764808654785,0.5612223844716633,11.475000381469727
5,2,678500,4932500,0.19352810084819794,0.4610851903047382,11.036666870117188
5,3,679500,4932500,0.20038975775241852,0.4726990636229137,10.670000076293945
5,4,680500,4932500,0.17235267162322998,0.37643947420598123,10.661666870117188
5,5,681500,4932500,0.17322349548339844,0.44473772602402606,9.928333282470703
5,6,682500,4932500,0.17859065532684326,0.43114244216258696,9.773333549499512
5,7,683500,4932500,0.17874938249588013,0.5715391701613396,9.701666831970215
5,8,684500,4932500,0.170255646109581,0.47570761855207966,9.381667137145996
5,9,685500,4932500,0.17009712755680084,0.41347246368821683,9.048333168029785
5,10,686500,4932500,0.1721866875886917,0.3803177718488732,8.958333015441895
5,11,687500,4932500,0.1692059338092804,0.3058190428541425,10.173333168029785
5,12,688500,4932500,0.18377844989299774,0.3936298852471751,11.053333282470703
5,13,689500,4932500,0.1936192363500595,0.38207247770195246,11.818333625793457
5,14,690500,4932500,0.19019092619419098,0.40328727722940527,11.670000076293945
5,15,691500,4932500,0.1803668588399887,0.31873490905842466,11.4350004196167
5,16,692500,4932500,0.19294144213199615,0.45429733470363615,11.341666221618652
5,17,693500,4932500,0.1950993686914444,0.30057438046533347,11.311666488647461
6,1,677500,4931500,0.19308380782604218,0.629930663516401,11.608333587646484
6,2,678500,4931500,0.19409871101379395,0.523750849434391,11.181666374206543
6,3,679500,4931500,0.20209772884845734,0.5842751262452454,10.963333129882812
6,4,680500,4931500,0.1906711906194687,0.3210477471156955,10.899999618530273
6,5,681500,4931500,0.17183008790016174,0.34746355351549985,10.228333473205566
6,6,682500,4931500,0.17812548577785492,0.35789870041240357,9.654999732971191
6,7,683500,4931500,0.17489610612392426,0.5297121429519908,9.65333366394043
6,8,684500,4931500,0.17760251462459564,0.24095069198802985,9.431666374206543
6,9,685500,4931500,0.17802779376506805,0.3587825437721346,9.401666641235352
6,10,686500,4931500,0.15870767831802368,0.31024254958042996,8.924848556518555
6,11,687500,4931500,0.16497616469860077,0.2980070951106318,10.680000305175781
6,12,688500,4931500,0.18316826224327087,0.28113437046953793,10.963333129882812
6,13,689500,4931500,0.17667461931705475,0.48594727231558643,10.789999961853027
6,14,690500,4931500,0.1767158955335617,0.43800875718009674,10.279394149780273
6,15,691500,4931500,0.17856478691101074,0.41043169308772487,10.199848175048828
6,16,692500,4931500,0.17352654039859772,0.49498529472933045,10.725000381469727
6,17,693500,4931500,0.18149952590465546,0.562457536016535,10.948333740234375
7,1,677500,4930500,0.20024742186069489,0.5399958738271764,11.611666679382324
7,2,678500,4930500,0.19875548779964447,0.5072997985880148,11.625
7,3,679500,4930500,0.20367375016212463,0.5665188982181251,11.448333740234375
7,4,680500,4930500,0.18658538162708282,0.4562012048240751,11.011666297912598
7,5,681500,4930500,0.17685888707637787,0.5033616506040853,10.256667137145996
7,6,682500,4930500,0.16802634298801422,0.3412260491850393,9.1899995803833
7,7,683500,4930500,0.17056098580360413,0.3199383457684162,8.729090690612793
7,8,684500,4930500,0.17148886620998383,0.3603749692017911,8.890454292297363
7,9,685500,4930500,0.15801601111888885,0.24457997525828812,9.280454635620117
7,10,686500,4930500,0.14941191673278809,0.22062174995716288,10.021666526794434
7,11,687500,4930500,0.154435932636261,0.3428656662866764,10.173333168029785
7,12,688500,4930500,0.16206292808055878,0.374666305825382,10.158333778381348
7,13,689500,4930500,0.17923612892627716,0.49490961782073134,10.146666526794434
7,14,690500,4930500,0.17304208874702454,0.3072349713539433,10.561666488647461
7,15,691500,4930500,0.18778012692928314,0.32168273164622035,10.079696655273438
7,16,692500,4930500,0.19478172063827515,0.31215085382907254,10.694999694824219
7,17,693500,4930500,0.19739244878292084,0.4184894965818295,10.953332901000977
8,2,678500,4929500,0.19477050006389618,0.5351286329761121,11.263181686401367
8,3,679500,4929500,0.19455064833164215,0.5070522661400083,11.413484573364258
8,4,680500,4929500,0.1885499805212021,0.42148735862734027,11.261666297912598
8,5,681500,4929500,0.17555119097232819,0.47814657928127174,9.524999618530273
8,6,682500,4929500,0.16667310893535614,0.3900046410647404,8.706666946411133
8,7,683500,4929500,0.1710636466741562,0.3655469039284624,8.241211891174316
8,8,684500,4929500,0.1663169264793396,0.3238242727689678,8.622272491455078
8,9,685500,4929500,0.16006149351596832,0.25722807066491804,9.303333282470703
8,10,686500,4929500,0.1652551144361496,0.15531160992574877,9.916666984558105
8,11,687500,4929500,0.15088780224323273,0.31816475400280103,9.283787727355957
8,12,688500,4929500,0.1655123382806778,0.37690651393639707,9.077424049377441
8,13,689500,4929500,0.1716603934764862,0.4367020612887922,9.178333282470703
8,14,690500,4929500,0.17702922224998474,0.3221324254252584,9.795303344726562
8,15,691500,4929500,0.19797514379024506,0.41728380224986616,10.3840913772583
8,16,692500,4929500,0.19088028371334076,0.37088751892516425,10.838333129882812
9,3,679500,4928500,0.17821694910526276,0.18378873695318557,10.25
9,4,680500,4928500,0.17740413546562195,0.4056472096396743,10.189393997192383
9,5,681500,4928500,0.17017292976379395,0.4194402178222821,9.065757751464844
9,6,682500,4928500,0.16186776757240295,0.5686090890334394,7.786818027496338
9,7,683500,4928500,0.18030233681201935,0.5960419308040291,7.45090913772583
9,8,684500,4928500,0.16725477576255798,0.5842796413375996,7.409090995788574
9,9,685500,4928500,0.16460935771465302,0.5551525236417801,7.671666622161865
9,10,686500,4928500,0.16718994081020355,0.39582555593006546,8.555000305175781
9,11,687500,4928500,0.1580137014389038,0.4171047097628005,8.380303382873535
9,12,688500,4928500,0.16174831986427307,0.37053591371941147,8.413787841796875
9,13,689500,4928500,0.16414932906627655,0.4357880220744235,8.666818618774414
9,14,690500,4928500,0.17974907159805298,0.42769103418756005,9.32272720336914
9,15,691500,4928500,0.18625973165035248,0.5074858325438698,9.860454559326172
9,16,692500,4928500,0.18205039203166962,0.44645297866648515,10.067878723144531
10,5,681500,4927500,0.15908485651016235,0.8811410466829935,7.678787708282471
10,6,682500,4927500,0.17441219091415405,0.7481967904182337,7.351666450500488
10,7,683500,4927500,0.18980291485786438,0.7500632313132286,7.375
10,8,684500,4927500,0.1791129857301712,0.7262036683879792,7.4116668701171875
10,9,685500,4927500,0.1856810450553894,0.6614721208065865,6.824999809265137
10,10,686500,4927500,0.16654804348945618,0.6849563043605303,6.648484706878662
10,11,687500,4927500,0.1669692099094391,0.595279618101567,7.180605888366699
10,12,688500,4927500,0.165627583861351,0.3860962784992094,7.823181629180908
10,13,689500,4927500,0.1641906350851059,0.33707697669607006,8.316211700439453
10,14,690500,4927500,0.16587425768375397,0.45155566979739226,8.645000457763672
10,15,691500,4927500,0.18456093966960907,0.5839315738717932,9.282878875732422
11,6,682500,4926500,0.20102271437644958,0.5745502460706575,7.648333549499512
11,7,683500,4926500,0.20190821588039398,0.7217536206394434,7.84499979019165
11,8,684500,4926500,0.18359649181365967,0.7626732926735654,7.53000020980835
11,9,685500,4926500,0.18271835148334503,0.7561706837791949,6.659393787384033
11,10,686500,4926500,0.1839907467365265,0.6989895649993793,6.881666660308838
11,11,687500,4926500,0.19058559834957123,0.6654002121228725,7.092272758483887
11,12,688500,4926500,0.16795921325683594,0.48866016205578344,7.184242248535156
11,13,689500,4926500,0.1663063019514084,0.5191548252624576,7.515909194946289
11,14,690500,4926500,0.17844974994659424,0.5491671840936165,8.033787727355957
11,15,691500,4926500,0.16855640709400177,0.5755836334774049,8.731666564941406
12,5,681500,4925500,0.1766311526298523,0.7928311185533532,8.853333473205566
12,6,682500,4925500,0.17413324117660522,0.7131462908438265,7.554999828338623
12,7,683500,4925500,0.18646736443042755,0.7072370967254042,8.056666374206543
12,8,684500,4925500,0.18050844967365265,0.6703735154688358,7.771666526794434
12,9,685500,4925500,0.17561085522174835,0.7564975291356444,7.124242305755615
12,10,686500,4925500,0.19316288828849792,0.7129245687417686,7.171666622161865
12,11,687500,4925500,0.19300983846187592,0.6659288294494152,6.901969909667969
12,12,688500,4925500,0.17086686193943024,0.4930930178440125,7.4281816482543945
12,13,689500,4925500,0.1700243353843689,0.6452435381397917,7.983181953430176
12,14,690500,4925500,0.17892856895923615,0.5493984659688865,8.21500015258789
12,15,691500,4925500,0.18762822449207306,0.5371118578417547,9.175000190734863
13,5,681500,4924500,0.17060863971710205,0.7627886505035277,8.332666397094727
13,6,682500,4924500,0.17243388295173645,0.6599706605009734,7.7531819343566895
13,7,683500,4924500,0.17545846104621887,0.629899903883785,7.9633331298828125
13,8,684500,4924500,0.18259963393211365,0.7196619023822248,7.512878894805908
13,9,685500,4924500,0.19623278081417084,0.6025712277356535,7.889999866485596
13,10,686500,4924500,0.1877433955669403,0.7349212933264673,8.388333320617676
13,11,687500,4924500,0.18207409977912903,0.7440737065640975,8.088333129882812
13,12,688500,4924500,0.169223815202713,0.549660196226963,7.392575740814209
14,5,681500,4923500,0.14341557025909424,0.5640128606571272,7.918000221252441
14,6,682500,4923500,0.17040890455245972,0.828722279857099,7.442727088928223
14,7,683500,4923500,0.16923819482326508,0.6751638672035187,7.198333263397217
14,8,684500,4923500,0.16902123391628265,0.650069260924193,7.933333396911621
14,9,685500,4923500,0.1782473474740982,0.5811307477746495,8.418333053588867
14,10,686500,4923500,0.17613115906715393,0.7288807013770925,8.595000267028809
14,11,687500,4923500,0.1672563999891281,0.4734654514759064,8.393333435058594
15,5,681500,4922500,0.14237725734710693,0.6885281952539339,8.10433292388916
15,6,682500,4922500,0.17175674438476562,0.6971287157904198,7.445606231689453
15,7,683500,4922500,0.17213211953639984,0.7412924970349859,7.120757579803467
15,8,684500,4922500,0.18148711323738098,0.6925559185788035,6.944394111633301
15,9,685500,4922500,0.16209478676319122,0.6950083143388852,8.193333625793457
15,10,686500,4922500,0.17023751139640808,0.5662566047241564,8.46500015258789
16,5,681500,4921500,0.17352533340454102,0.7415663028386454,8.44484806060791
16,6,682500,4921500,0.16551660001277924,0.6642643750202757,6.819242477416992
16,7,683500,4921500,0.17178016901016235,0.7642297332529308,5.97939395904541
16,8,684500,4921500,0.18876157701015472,0.54909327281905,6.703333377838135
16,9,685500,4921500,0.1731313169002533,0.8164073366027907,8.664999961853027
