year,temporal_hotspot_fraction,temporal_hotspot_strong_fraction,structural_hotspot_threshold,structural_hotspot_fraction
2013,0.07838450372219086,0.014113400131464005,46.13917541503906,0.04997289553284645
2014,4.004299989901483e-05,2.464184581185691e-05,40.33708572387695,0.049985986202955246
2015,0.057094279676675797,0.004897491540759802,46.809104919433594,0.049982134252786636
2016,0.004398501943796873,0.0005605933838523924,45.331241607666016,0.050000615417957306
2017,0.3812435269355774,0.15997856855392456,46.37160110473633,0.04989897087216377
2018,0.3971341848373413,0.18588291108608246,48.887264251708984,0.049982134252786636
2019,0.0027938038110733032,0.00014477262448053807,44.75487518310547,0.04991883412003517
2020,0.01808014139533043,0.0017439263174310327,45.61963653564453,0.049951471388339996
2021,0.5632862448692322,0.28432291746139526,48.30790710449219,0.04998582974076271
2022,0.3383920192718506,0.10145816206932068,48.07035446166992,0.049929771572351456
2023,0.08654779195785522,0.018921740353107452,47.00735092163086,0.049967195838689804
2024,0.01923266425728798,0.0007146025309339166,45.8896598815918,0.04999753460288048
2025,0.03577940911054611,0.007632694207131863,45.375247955322266,0.049985215067863464
2026,0.09894473105669022,0.018265487626194954,46.47414016723633,0.04995133355259895
