year,date,time_UTC,satellite,valid_pixels_percent,landsat_id,export_created_utc
2020.0,2020-07-05,09:58:34,LANDSAT_8,99.91130264724481,LC08_L2SP_192029_20200705_20200913_02_T1,2026-09-10T06:14:09.175Z
2020.0,2020-07-21,09:58:40,LANDSAT_8,99.91779269744642,LC08_L2SP_192029_20200721_20200911_02_T1,2026-09-10T06:14:09.175Z
2020.0,2020-08-06,09:58:43,LANDSAT_8,71.58208081020341,LC08_L2SP_192029_20200806_20200916_02_T1,2026-09-10T06:14:09.175Z
2020.0,2020-08-22,09:58:50,LANDSAT_8,99.91902889748482,LC08_L2SP_192029_20200822_20200905_02_T1,2026-09-10T06:14:09.175Z
2021.0,2021-06-06,09:58:32,LANDSAT_8,60.062639225515035,LC08_L2SP_192029_20210606_20210615_02_T1,2026-09-10T06:14:09.175Z
2021.0,2021-06-22,09:58:37,LANDSAT_8,99.998454749952,LC08_L2SP_192029_20210622_20210629_02_T1,2026-09-10T06:14:09.175Z
2021.0,2021-07-08,09:58:40,LANDSAT_8,3.1049381852714664,LC08_L2SP_192029_20210708_20210713_02_T1,2026-09-10T06:14:09.175Z
2021.0,2021-07-24,09:58:45,LANDSAT_8,84.9035917889071,LC08_L2SP_192029_20210724_20210730_02_T1,2026-09-10T06:14:09.175Z
2021.0,2021-08-09,09:58:52,LANDSAT_8,99.92799134776321,LC08_L2SP_192029_20210809_20210819_02_T1,2026-09-10T06:14:09.175Z
2021.0,2021-08-25,09:58:57,LANDSAT_8,28.030364417955276,LC08_L2SP_192029_20210825_20210901_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-06-01,09:58:17,LANDSAT_9,41.30179111569256,LC09_L2SP_192029_20220601_20230414_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-06-09,09:58:52,LANDSAT_8,40.26919322361722,LC08_L2SP_192029_20220609_20220616_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-06-17,09:58:24,LANDSAT_9,0.948733839078131,LC09_L2SP_192029_20220617_20230411_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-06-25,09:58:59,LANDSAT_8,74.62807891678128,LC08_L2SP_192029_20220625_20220706_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-07-03,09:58:37,LANDSAT_9,100.0,LC09_L2SP_192029_20220703_20230408_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-07-11,09:58:59,LANDSAT_8,99.92768229775362,LC08_L2SP_192029_20220711_20220722_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-07-19,09:58:38,LANDSAT_9,99.9975275999232,LC09_L2SP_192029_20220719_20230407_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-07-27,09:59:08,LANDSAT_8,0.0,LC08_L2SP_192029_20220727_20220802_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-08-04,09:58:52,LANDSAT_9,99.9990728499712,LC09_L2SP_192029_20220804_20230404_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-08-12,09:59:16,LANDSAT_8,99.59730783749126,LC08_L2SP_192029_20220812_20220818_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-08-20,09:58:59,LANDSAT_9,99.82291434449924,LC09_L2SP_192029_20220820_20230402_02_T1,2026-09-10T06:14:09.175Z
2022.0,2022-08-28,09:59:17,LANDSAT_8,99.91655649740801,LC08_L2SP_192029_20220828_20220909_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-06-04,09:58:13,LANDSAT_9,0.0,LC09_L2SP_192029_20230604_20230606_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-06-12,09:58:12,LANDSAT_8,21.506334470791106,LC08_L2SP_192029_20230612_20230615_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-06-20,09:58:05,LANDSAT_9,85.66045647437838,LC09_L2SP_192029_20230620_20230622_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-06-28,09:58:19,LANDSAT_8,0.0,LC08_L2SP_192029_20230628_20230711_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-07-06,09:58:18,LANDSAT_9,10.597121219764057,LC09_L2SP_192029_20230706_20230710_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-07-14,09:58:28,LANDSAT_8,41.167801575059904,LC08_L2SP_192029_20230714_20230724_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-07-22,09:58:21,LANDSAT_9,97.46789752114981,LC09_L2SP_192029_20230722_20230802_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-07-30,09:58:35,LANDSAT_8,89.92115079849204,LC08_L2SP_192029_20230730_20230805_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-08-07,09:58:31,LANDSAT_9,99.53302543549447,LC09_L2SP_192029_20230807_20230809_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-08-15,09:58:40,LANDSAT_8,99.85165599539204,LC08_L2SP_192029_20230815_20230819_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-08-23,09:58:37,LANDSAT_9,99.9975275999232,LC09_L2SP_192029_20230823_20230825_02_T1,2026-09-10T06:14:09.175Z
2023.0,2023-08-31,09:58:45,LANDSAT_8,99.65638729167945,LC08_L2SP_192029_20230831_20230906_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-06-06,09:58:07,LANDSAT_9,99.76615337136356,LC09_L2SP_192029_20240606_20240612_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-06-14,09:57:52,LANDSAT_8,0.02000947317056899,LC08_L2SP_192029_20240614_20240628_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-06-22,09:57:48,LANDSAT_9,99.995364249856,LC09_L2SP_192029_20240622_20240623_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-06-30,09:58:03,LANDSAT_8,94.7794726996008,LC08_L2SP_192029_20240630_20240709_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-07-08,09:58:06,LANDSAT_9,67.38745774225978,LC09_L2SP_192029_20240708_20240709_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-07-16,09:58:16,LANDSAT_8,100.0,LC08_L2SP_192029_20240716_20240722_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-07-24,09:58:11,LANDSAT_9,99.76128734866336,LC09_L2SP_192029_20240724_20240725_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-08-01,09:58:22,LANDSAT_8,100.0,LC08_L2SP_192029_20240801_20240807_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-08-09,09:58:17,LANDSAT_9,99.86865374592003,LC09_L2SP_192029_20240809_20240810_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-08-17,09:58:28,LANDSAT_8,99.77130299289604,LC08_L2SP_192029_20240817_20240823_02_T1,2026-09-10T06:14:09.175Z
2024.0,2024-08-25,09:58:31,LANDSAT_9,99.85752794557442,LC09_L2SP_192029_20240825_20240826_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-06-01,09:58:14,LANDSAT_8,99.9808388994048,LC08_L2SP_192029_20250601_20250607_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-06-09,09:58:14,LANDSAT_9,27.598407037478644,LC09_L2SP_192029_20250609_20250610_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-06-17,09:58:25,LANDSAT_8,0.002163350067199615,LC08_L2SP_192029_20250617_20250627_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-06-25,09:58:26,LANDSAT_9,94.26782162331527,LC09_L2SP_192029_20250625_20250627_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-07-03,09:58:31,LANDSAT_8,99.71272286656665,LC08_L2SP_192029_20250703_20250711_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-07-11,09:58:29,LANDSAT_9,99.91748364743681,LC09_L2SP_192029_20250711_20250712_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-07-19,09:58:37,LANDSAT_8,67.40261573626003,LC08_L2SP_192029_20250719_20250726_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-07-27,09:58:38,LANDSAT_9,85.67661918390023,LC09_L2SP_192029_20250727_20250729_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-08-04,09:58:42,LANDSAT_8,36.04804518112418,LC08_L2SP_192029_20250804_20250814_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-08-12,09:58:48,LANDSAT_9,100.0,LC09_L2SP_192029_20250812_20250815_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-08-20,09:58:49,LANDSAT_8,64.798035576335,LC08_L2SP_192029_20250820_20250826_02_T1,2026-09-10T06:14:09.175Z
2025.0,2025-08-28,09:58:52,LANDSAT_9,58.517892141256425,LC09_L2SP_192029_20250828_20250830_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-06-04,09:57:51,LANDSAT_8,98.36243974403483,LC08_L2SP_192029_20260604_20260613_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-06-12,09:58:02,LANDSAT_9,99.9286094477824,LC09_L2SP_192029_20260612_20260614_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-06-20,09:58:00,LANDSAT_8,99.99969094999041,LC08_L2SP_192029_20260620_20260627_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-06-28,09:58:14,LANDSAT_9,99.44653869927853,LC09_L2SP_192029_20260628_20260629_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-07-06,09:58:10,LANDSAT_8,99.09201107179534,LC08_L2SP_192029_20260706_20260716_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-07-14,09:58:20,LANDSAT_9,98.42168160097307,LC09_L2SP_192029_20260714_20260722_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-07-22,09:58:16,LANDSAT_8,45.71819937817248,LC08_L2SP_192029_20260722_20260725_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-07-30,09:58:32,LANDSAT_9,99.99165564974079,LC09_L2SP_192029_20260730_20260731_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-08-07,09:58:24,LANDSAT_8,100.0,LC08_L2SP_192029_20260807_20260812_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-08-15,09:58:34,LANDSAT_9,99.99969094999041,LC09_L2SP_192029_20260815_20260816_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-08-23,09:58:32,LANDSAT_8,53.45899920783873,LC08_L2SP_192029_20260823_20260902_02_T1,2026-09-10T06:14:09.175Z
2026.0,2026-08-31,09:58:40,LANDSAT_9,99.87390759608323,LC09_L2SP_192029_20260831_20260901_02_T1,2026-09-10T06:14:09.175Z
